epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
36,342.608,0.06857,0.45903,0.89038,0.7891,0.84056,0.88446,0.88371,0.21695,0.66604,0.29394,0.000511769,0.000511769,0.000511769
37,351.932,0.06906,0.43164,0.88692,0.75317,0.8864,0.88604,0.88604,0.1523,0.60079,0.2157,0.000478762,0.000478762,0.000478762
38,361.349,0.06571,0.46219,0.90124,0.71533,0.90595,0.87299,0.86779,0.20963,0.6274,0.28483,0.000445756,0.000445756,0.000445756
39,370.642,0.066,0.43989,0.89446,0.70879,0.91819,0.88125,0.88086,0.20678,0.71202,0.28251,0.000412749,0.000412749,0.000412749
40,380.042,0.06332,0.4265,0.90151,0.75986,0.88452,0.89146,0.89146,0.18154,0.64931,0.25813,0.000379743,0.000379743,0.000379743
41,390.833,0.05971,0.56146,0.92023,0.70128,0.91192,0.8652,0.8652,0.14593,0.62397,0.19932,0.000346736,0.000346736,0.000346736
42,400.163,0.05708,0.39885,0.90182,0.75612,0.89167,0.86705,0.86705,0.16277,0.69261,0.23412,0.000313729,0.000313729,0.000313729
43,409.476,0.0462,0.38565,0.91798,0.80812,0.84724,0.88202,0.88202,0.1351,0.58305,0.20438,0.000280723,0.000280723,0.000280723
44,418.746,0.04422,0.35995,0.90564,0.8085,0.78323,0.85904,0.85904,0.16502,0.60762,0.24059,0.000247716,0.000247716,0.000247716
45,427.991,0.04083,0.35915,0.90982,0.78651,0.81795,0.87184,0.87184,0.16176,0.74777,0.23035,0.00021471,0.00021471,0.00021471
46,437.268,0.03798,0.33581,0.91031,0.73749,0.87934,0.87676,0.87676,0.14415,0.82509,0.21123,0.000181703,0.000181703,0.000181703
47,446.614,0.03209,0.34342,0.90242,0.70407,0.94405,0.87197,0.87197,0.16788,0.78429,0.23607,0.000148696,0.000148696,0.000148696
48,455.889,0.02902,0.33472,0.9033,0.73834,0.90199,0.8864,0.88633,0.1724,0.73044,0.24488,0.00011569,0.00011569,0.00011569
49,465.143,0.0298,0.30348,0.90974,0.74481,0.89881,0.88504,0.88476,0.16891,0.74391,0.23597,8.26832e-05,8.26832e-05,8.26832e-05
50,474.436,0.02602,0.2969,0.90851,0.74768,0.88775,0.88635,0.88635,0.15918,0.80895,0.22537,4.96766e-05,4.96766e-05,4.96766e-05
