epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8319,0.42796,1.98213,1.12009,0.44089,0.725,0.54923,0.35457,1.17647,1.76737,1.36765,0.000543319,0.000543319,0.000543319
2,21.5151,0.23924,1.20406,0.97846,0.83775,0.46071,0.56824,0.42943,0.68243,2.2393,0.80881,0.00107723,0.00107723,0.00107723
3,31.0623,0.23858,1.02094,0.96186,0.75054,0.80833,0.77359,0.7666,0.2689,1.12137,0.38873,0.00158913,0.00158913,0.00158913
4,40.5824,0.22316,0.92098,0.95897,0.58225,0.84147,0.68705,0.35487,1.15937,1.42284,1.14572,0.00156798,0.00156798,0.00156798
5,50.0627,0.19963,0.87021,0.94421,0.57657,0.90833,0.73166,0.72878,0.31412,1.01857,0.45566,0.00153497,0.00153497,0.00153497
6,59.5513,0.18644,0.79835,0.93378,0.69127,0.83929,0.76303,0.75322,0.33097,0.88568,0.4826,0.00150197,0.00150197,0.00150197
7,68.9853,0.16475,0.7568,0.92828,0.5527,0.91776,0.69682,0.69654,0.34068,0.89059,0.46671,0.00146896,0.00146896,0.00146896
8,78.3815,0.16204,0.73101,0.92439,0.60294,0.9131,0.72162,0.69429,0.28795,0.87166,0.39163,0.00143595,0.00143595,0.00143595
9,87.7361,0.1615,0.69579,0.92749,0.64662,0.86548,0.77361,0.76319,0.29802,0.84674,0.42723,0.00140295,0.00140295,0.00140295
10,97.1799,0.15489,0.65812,0.93222,0.50665,0.88862,0.62753,0.54679,0.40009,1.34055,0.48973,0.00136994,0.00136994,0.00136994
11,106.507,0.16614,0.67464,0.92615,0.59255,0.90714,0.73662,0.70032,0.30759,0.85214,0.44621,0.00133693,0.00133693,0.00133693
12,116.267,0.1402,0.62707,0.91592,0.70973,0.78929,0.79126,0.74342,0.30983,0.81509,0.43266,0.00130393,0.00130393,0.00130393
13,125.936,0.13475,0.62586,0.91583,0.62582,0.65357,0.69982,0.67725,0.29866,0.96399,0.44552,0.00127092,0.00127092,0.00127092
14,135.391,0.12316,0.60153,0.91022,0.67301,0.83101,0.79413,0.77984,0.22578,0.75819,0.32307,0.00123791,0.00123791,0.00123791
15,144.822,0.13396,0.60657,0.91061,0.71433,0.82976,0.74885,0.74885,0.20279,0.68926,0.30425,0.00120491,0.00120491,0.00120491
16,154.241,0.13271,0.6046,0.91845,0.61313,0.9342,0.76128,0.76128,0.25254,0.69319,0.37935,0.0011719,0.0011719,0.0011719
17,163.648,0.11861,0.57256,0.90665,0.72577,0.81672,0.83731,0.8355,0.20676,0.78983,0.31977,0.00113889,0.00113889,0.00113889
18,173.028,0.12035,0.55002,0.91221,0.78189,0.82262,0.84821,0.82574,0.2495,0.79018,0.38218,0.00110589,0.00110589,0.00110589
19,182.404,0.11244,0.54167,0.90054,0.64488,0.9177,0.83217,0.80558,0.36883,0.86902,0.46658,0.00107288,0.00107288,0.00107288
20,191.759,0.11187,0.51689,0.90656,0.71731,0.78894,0.81752,0.81524,0.21924,0.75496,0.30062,0.00103987,0.00103987,0.00103987
21,201.208,0.10725,0.53919,0.91092,0.71729,0.87619,0.84338,0.83553,0.24364,0.70013,0.32665,0.00100687,0.00100687,0.00100687
22,210.543,0.09698,0.50059,0.90203,0.65766,0.90952,0.82655,0.82655,0.21134,0.71047,0.30334,0.000973861,0.000973861,0.000973861
23,219.863,0.09883,0.5127,0.91261,0.65607,0.77272,0.75302,0.73271,0.2262,0.82766,0.29388,0.000940855,0.000940855,0.000940855
24,229.643,0.10641,0.51837,0.90345,0.56925,0.95101,0.68319,0.68319,0.20072,0.82586,0.27753,0.000907848,0.000907848,0.000907848
25,239.047,0.10035,0.51148,0.90588,0.80617,0.8255,0.86055,0.84433,0.20472,0.72345,0.29262,0.000874842,0.000874842,0.000874842
26,248.479,0.09172,0.52298,0.89876,0.74833,0.81616,0.84776,0.84056,0.21874,0.6961,0.30732,0.000841835,0.000841835,0.000841835
27,257.937,0.09339,0.50122,0.89965,0.65945,0.78795,0.7896,0.78289,0.20516,0.75973,0.29718,0.000808828,0.000808828,0.000808828
28,267.35,0.09872,0.4886,0.90338,0.69954,0.83498,0.87081,0.8693,0.13884,0.74738,0.23477,0.000775822,0.000775822,0.000775822
29,276.771,0.0903,0.46923,0.89465,0.74149,0.89643,0.86678,0.86678,0.14403,0.65786,0.22681,0.000742815,0.000742815,0.000742815
30,286.162,0.0841,0.4944,0.90617,0.77116,0.825,0.85628,0.85628,0.23456,0.73525,0.32486,0.000709809,0.000709809,0.000709809
31,295.542,0.08228,0.47056,0.89485,0.73059,0.8984,0.86952,0.86951,0.225,0.66348,0.3145,0.000676802,0.000676802,0.000676802
32,305.06,0.07847,0.47728,0.89625,0.78765,0.83566,0.88586,0.87969,0.27733,0.74205,0.36511,0.000643795,0.000643795,0.000643795
33,314.542,0.07399,0.46996,0.89437,0.68391,0.91987,0.87124,0.87124,0.17684,0.65915,0.25278,0.000610789,0.000610789,0.000610789
34,323.896,0.0746,0.45802,0.89169,0.80531,0.86718,0.88566,0.88458,0.23262,0.72995,0.33095,0.000577782,0.000577782,0.000577782
35,333.261,0.0711,0.46722,0.89813,0.78712,0.8136,0.87736,0.87736,0.21165,0.82063,0.28595,0.000544776,0.000544776,0.000544776
